sp_name,count
Watertown Ford,189
Sullivan's Northwest Hills Chevy Cadillac Buick GMC,189
Berlin City Nissan of Portland,189
Bill DeLuca Chrysler Jeep Dodge,189
Mercedes-Benz of Flemington,189
Open Road Mazda of Morristown,189
Lucas Ford,189
Koons Easton Toyota,189
Grand Ledge Ford Lincoln,188
Balise Hyundai,188
Koons White Marsh Chevrolet,188
Smithtown Kia,188
Bill Dodge Auto Group - Westbrook,188
Hertrich's Frederick Ford,188
Terry's Ford of Peotone,188
Tom Kelley Chevrolet Buick,188
Nemer Volkswagen,187
Colonial Ford Marlboro,187
Carbone Subaru,187
Castle Subaru,187
Audi Hawthorne,187
Volkswagen of Hartford,187
Upper Valley Honda,187
Key Hyundai of Salem,186
Brown's Toyota of Glen Burnie,186
Top Line Import of Methuen,186
Monadnock Ford,185
Fairfield's Cadillac & Buick GMC,185
Garvey Hyundai North,184
Hertrich Nissan,184
Bay Ridge Hyundai,184
AutoFair Ford of Haverhill,184
Charlie's Honda,184
Viti Mercedes-Benz,184
Bay Ridge Chevrolet,184
Prime Toyota - Boston,184
James CDJR Cedar Lake,184
Bourne's Auto Center,184
Sansone's Route 1 Toyota,183
Carman Chrysler Jeep Dodge,183
Spartan Toyota,183
Ciocca Hyundai,183
Casco Bay Ford,183
Herson's Kia,183
Autosaver Ford,183
European Masters,183
Heritage Volkswagen Parkville,183
Passport INFINITI of Suitland,183
Northgate Ford,183
Interstate Toyota,182
Toyota of Bennington,182
Lia Honda of Enfield,182
Tasca Kia,182
Emerson Chevrolet Buick,182
Webb Hyundai Merrillville,182
Audi Brookline,182
Your Choice Autos - Posen,181
Erhard BMW of Farmington Hills,181
MINI of Alexandria,181
Flawless Auto Mall,181
Audi of Nashua,181
Herb Chambers Hyundai of Auburn,181
Metro Toyota,181
Auto Direct Cars LLC,180
Burke Motor Group,180
Hertz Car Sales Smithtown,180
Pacifico Mazda Hyundai,180
Mastria Buick GMC,180
Mercedes-Benz of Silver Spring,180
Continental Toyota,180
Ourisman Chrysler Jeep Dodge RAM,179
McGuire Buick GMC,179
Advantage Toyota of River Oaks,179
Open Road Mazda of East Brunswick,179
Garvey Hyundai,179
Key Ford of York,178
Somersworth Nissan,178
CarMax Danvers - Now offering Curbside Pickup,178
Chapman Ford Lincoln Mazda,178
Safford Ford Lincoln of Salisbury,178
Devon Nissan,178
Rallye Lexus,178
Lawless Chrysler Jeep Dodge Ram,177
Framingham Ford,177
Volvo Cars Westport,177
Grappone Automotive Group,177
Competition Subaru of Smithtown,177
Freedom Nissan,176
North End Subaru Mazda,176
Bill Dodge Auto Group - Saco,176
Hyannis Toyota,176
Page Toyota,176
Prime Subaru Manchester,176
Watseka Ford Lincoln,176
Groulx Automotive Buick GMC,175
Nissan of Queens,175
Boch Nissan,175
Audi Creve Coeur,175
Merlex Auto Group,175
St Marys Chrysler Dodge Jeep Incorporated,175
City World Ford,175
INFINITI of Englewood,175
Volvo Cars Plymouth,175
Route 6 Automall Kia,175
Bob Rohrman Hyundai,174
Keenan Motors,174
Graff Chevrolet Okemos,174
Central Maine Toyota,174
Autofair Volkswagen,174
Bergey's Lincoln,174
Village Subaru/Pre-Owned Plus,174
South Shore Nissan,174
National Motors - Ellicott City,174
CarMax Turnersville - Now offering Curbside Pickup,173
DiFeo Kia,173
Fort Wayne Kia,173
Trust Auto,173
Reichard Buick GMC,173
Lilliston Ford,173
CarMax Merrillville - Now offering Curbside Pickup,173
Fletcher Jones Audi,173
Riverdale Chrysler Jeep Dodge Ram,173
Honda of Toms River,172
Hertrich Chrysler Dodge Jeep Ram of Elkton,172
McFarland Ford Sales Inc,172
BMW of Reading,172
Fuccillo Ford of East Greenbush Incorporated,172
Faulkner Buick GMC Trevose,172
Volvo Huntington,172
Planet Honda,172
Genesis Alfa Romeo Fiat,172
Rosenthal Chevrolet,172
Saint J Subaru,171
Gold Coast Maserati Alfa Romeo,171
Len Stoler Ford,171
Port City Nissan,171
Executive Chevrolet,171
Bob Rohrman Subaru of Fort Wayne,171
Reynolds Subaru,171
Deluxe Auto Sales of Linden,171
Lucas Ford Lincoln,171
Diver Chevrolet,171
Ourisman Volkswagen of Laurel,170
Central Maine Chrysler Dodge Jeep,170
Holman Cadillac,170
Easterns Automotive Group of Baltimore,170
Spitzer Motors - Mansfield,170
Holmgren Subaru Inc,169
Prime Buick GMC,169
Lynch Toyota,169
Nissan of Keene,169
Durand Chevrolet,169
Meade Lexus of Southfield,169
Wiz Autos,169
Prime Ford - Saco,169
Center Subaru Inc,169
AutoPROVED,169
North End Motors,169
Acura of Wappingers Falls,168
BMW of Catonsville,168
Bill Dodge Auto Group - Brunswick,168
Mirak Chevrolet,168
Kelly Volkswagen,168
Eriks Chevrolet,168
Open Road Subaru,168
900Hertrich Acura,167
Tasca Ford Berlin,167
Acton Chrysler Dodge Jeep Ram,167
Passport Nissan of Alexandria,167
Goldstein Subaru of Albany,167
Taj Auto Mall,166
Mercedes-Benz of Hanover,166
Exeter Subaru Inc,166
Mercedes-Benz of Shrewsbury,166
